hollywoodFilms,Genre,rottenTomatoesRatings%,audienceRatings,budget
Love Happens,Drama,0.18,0.4,18
MacGruber,Action,0.47,0.33,10
Machete,Action,0.73,0.66,20
Machine Gun Preacher,Action,0.29,0.71,30
Mad Money,Comedy,0.22,0.51,22
Made of Honor,Comedy,0.13,0.61,40
Mamma Mia!,Comedy,0.53,0.76,66
Margin Call,Thriller,0.86,0.73,4
Marley and Me,Comedy,0.63,0.77,55
Marmaduke,Comedy,0.09,0.46,50
Max Payne,Action,0.16,0.36,35
Meet Dave,Adventure,0.19,0.42,60
Meet the Spartans,Comedy,0.02,0.31,30
Michael Clayton,Thriller,0.9,0.72,25
Midnight in Paris,Romance,0.93,0.84,17
Miracle at St. Anna,Action,0.34,0.68,45
Mirrors,Horror,0.14,0.49,35
Miss Pettigrew Lives for a Day,Comedy,0.78,0.7,60
Mission Impossible 4,Action,0.93,0.86,145
Moneyball,Drama,0.95,0.89,50
Monte Carlo,Romance,0.38,0.5,20
Morning Glory,Comedy,0.54,0.54,40
Mother and Child,Drama,0.79,0.61,7
Mr. Brooks,Thriller,0.56,0.75,20
Mr. Popper's Penguins,Comedy,0.47,0.54,55
Music and Lyrics,Romance,0.63,0.7,40
My Best Friend's Girl,Comedy,0.14,0.51,20
My Life in Ruins,Comedy,0.09,0.43,17
My Sister's Keeper,Drama,0.47,0.73,28
My Soul to Take,Horror,0.09,0.29,25
My Week with Marilyn,Drama,0.83,0.84,10
Nancy Drew,Thriller,0.49,0.61,20
Nanny McPhee Returns,Comedy,0.77,0.54,35
National Treasure: Book of Secrets,Thriller,0.31,0.72,130
Never Back Down,Action,0.23,0.37,21
Never Let Me Go,Drama,0.7,0.7,15
New Year's Eve,Romance,0.08,0.48,56
Next,Thriller,0.29,0.59,70
Next Day Air,Action,0.21,0.27,3
Nick and Norah's Infinite Playlist,Comedy,0.73,0.67,10
Night at the Museum: Battle of the Smithsonian,Action,0.43,0.6,150
Nights in Rodanthe,Drama,0.31,0.56,30
Nim's Island,Adventure,0.51,0.5,37
Nine,Drama,0.37,0.4,80
Ninja Assassin,Action,0.25,0.57,50
